Feature Code,Point / Line,Name,Category
PIPEND,L,Pipe Encasements Quality Level D Existing Records (Buried),F-ZONE 3
PKGM,P,Parking Meter,F-ZONE 1
PLEQ,P,Playground Equipment,F-ZONE 1
PLNT,L,Landscape Borders (Including Planters),F-ZONE 1
PMON,P,Monuments - Concrete (Poured),F-ZONE 6
PMP,P,Pump (Non Petroleum),F-ZONE 3
PMPF,P,Pump (Petroleum / Fuel),F-ZONE 3
PMPIS,L,Pump Island,F-ZONE 1
PMPST,P,Pump Station (Sanitary Sewer),F-ZONE 3
PMRK,L,Pavement Markings (Exclude Travel Lanes),F-ZONE 1
POOL,L,Pools (Not Ponds) (All Types),F-ZONE 1
POST,P,Post or Pole (Not Monuments),F-ZONE 1
PP,P,Electrical Pole,F-ZONE 3
PPT,P,Electrical Pole With Transformer,F-ZONE 3
PRI,L,Conductors (Primary Distribution) (Aerial),F-ZONE 3
PROP,L,Property Lines / Lot Lines,F-ZONE 9
PRWM,P,Mapping Permanent Right of Way Monument (Annotation Cell),F-ZONE 9
PS,P,Pedestrian Signal Unit Signage,F-ZONE 1
PST,P,Monuments - Post Stake Staub,F-ZONE 6
PWR,L,Electrical Conductors (Distribution & Transmission) (Aerial),F-ZONE 3
QDEL,P,Subsurface Utility (Quality Level Delineator),F-ZONE 3
QLA,P,Subsurface Utility Quality Level A Locate,F-ZONE 3
QLB,P,Subsurface Utility Quality Level B Designate,F-ZONE 3
QLC,P,Subsurface Utility Quality Level C Visual Inspection,F-ZONE 3
QLD,P,Subsurface Utility Quality Level D Existing Records,F-ZONE 3
QQTRS,L,Government: Quarter / Quarter Section Line,F-ZONE 9
QTREW,P,Government: 1/4 Section Corner E or W,F-ZONE 9
QTRNS,P,Government: 1/4 Section Corner N or S,F-ZONE 9
QTRS,L,Government: Quarter Section Line,F-ZONE 9
RAMP,L,Accessible Ramp (For Buildings Docks Sidewalks etc.) (Not Curbs),F-ZONE 1
RD,L,Roadway Trail (Unpaved),F-ZONE 1
REFL,L,Survey Reference Point Line / Detail (Miscellaneous),F-ZONE 6
RETW,L,Wall Holding Earth (All),F-ZONE 1
RG,P,Gas Regulator,F-ZONE 3
RIP,L,Rip Rap Rubble,F-ZONE 1
RLS,P,Restricted Lane Symbol,F-ZONE 1
ROW,L,Right of Way Lines,F-ZONE 9
ROWP,L,Right of Way Lines,F-ZONE 9
RR,L,Railroad Tracks (Rail Bed),F-ZONE 1
RRCL,L,Baseline:Rail Road Centerline,F-ZONE 6
RRMP,P,Railroad Milepost,F-ZONE 1
RRS,P,Railroad Switch,F-ZONE 1
RRWS,P,Railroad Warning Sign,F-ZONE 1
RRX,L,Railroad Crossing (Roadway Platforms) Railroad Signal w/ Gate,F-ZONE 1
RXR,P,Railroad Crossing Symbol,F-ZONE 1
SAT,P,Monuments - Hub and Tac,F-ZONE 6
SATD,P,Satellite Dish Antenna,F-ZONE 3
SCHOOL,P,School Symbol,F-ZONE 1
SCT,L,Scattered Trees (Boundary),F-ZONE 1
SE,L,Sanitary Effluent (Open Channel),F-ZONE 3
SEAW,L,Sea Walls,F-ZONE 1
SEC,L,Conductors (Secondary Distribution) (Aerial),F-ZONE 3
SECT,L,Government: Section Lines (Existing),F-ZONE 9
SEW,L,Straight Endwall,F-ZONE 2
SGNC,P,Cantilevered Sign Column (Large),F-ZONE 1
SGNT,L,Trusses and Cantilevers for Overhead Signs,F-ZONE 1
SHLDR,L,Shoulder Edge (Paved),F-ZONE 1
SHP,P,Shared Pole,F-ZONE 3
SHPT,P,Shared Pole with Transformer,F-ZONE 3
SHR,P,Shrub Bush,F-ZONE 1
SHRC,P,Coniferous Shrub,F-ZONE 1
SHRD,P,Deciduous Shrub,F-ZONE 1
SHWM,P,Seasonal High Water Mark (as marked by Environmental),F-ZONE 2
SIG,P,Signal Head,F-ZONE 1
SIGC,P,Signal Controller,F-ZONE 1
SIGNAL,P,Signal Pavement Symbol,F-ZONE 1
SIGP,P,Signal on Pedestal,F-ZONE 1
SILO,P,Silo,F-ZONE 1
SILT,P,Ground Shot for Digital Terrain Model (DTM),F-ZONE 1
SLC,L,Street Lighting Conductors,F-ZONE 3
SLOW,P,Slow Symbol,F-ZONE 1
SLP,L,Natural Slopes (Top or Bottom),F-ZONE 1
SLV,L,Subdivision Vacated or Original Lot Line,F-ZONE 9
SMA,P,Signal Supports including Mast Arm,F-ZONE 1
SMAE,L,Support Mast Arm Extension,F-ZONE 1
SP,P,Standpipe,F-ZONE 3
SPD,L,Special Drainage Feature (Describe),F-ZONE 2
SPEW,L,Special Endwall,F-ZONE 2
SPH,P,Sprinkler Head,F-ZONE 3
SPL,L,Spillways Flumes or Scuppers,F-ZONE 2
SPLE,P,Int.Trans.Sys. (ITS) Fiber Spliced Enclosure,NOT USED
SPLV,P,Int.Trans.Sys. (ITS) Fiber Spliced Vault (Buried),NOT USED
SPR,P,Spring (Water Source),F-ZONE 1
SRVC,P,Junction Box / Service Cabinet (Elec/Tel),F-ZONE 3
SSA,L,Sanitary Sewer (All Sizes) Quality Level A Locate,F-ZONE 3
SSB,L,Sanitary Sewer (All Sizes) Quality Level B Designate (Buried),F-ZONE 3
SSC,L,Sanitary Sewer (All Sizes) Quality Level C Visual Inspection (Buried),F-ZONE 3
SSD,L,Sanitary Sewer (All Sizes) Quality Level D Existing Records (Buried),F-ZONE 3
SSP,P,Signal / Span Wire Pole,F-ZONE 1
SSS,P,Sign (Single Support),F-ZONE 1
SSW,L,Signal / Span Wire,F-ZONE 1
STAL,P,Straight and Turn Arrow Left,F-ZONE 1
STAR,P,Straight and Turn Arrow Right,F-ZONE 1
STAROW,P,Straight Direction Arrow,F-ZONE 1
STCKP,L,Stock Piles of All Types (Dirt Gravel Sand etc.),F-ZONE 1
STEAMA,L,Steam Line Quality Level A Locate,F-ZONE 3
STEAMB,L,Steam Line Quality Level B Designate (Buried),F-ZONE 3
STEAMC,L,Steam Line Quality Level C Visual Inspection (Buried),F-ZONE 3
STEAMD,L,Steam Line Quality Level D Existing Records (Buried),F-ZONE 3
STL,L,Government: State Line,F-ZONE 9
STM,P,Stump,F-ZONE 1
STMD,P,Monuments - Stamped Disk,F-ZONE 6
STMP,P,Monuments - Stamped Plate,F-ZONE 6
STOP,P,Stop Symbol,F-ZONE 1
STP,L,Stairways Steps,F-ZONE 1
STRM,L,Stream Edge,F-ZONE 1
STRMC,L,Stream Center,F-ZONE 1
STS,L,Storm Sewer (All Sizes) Drain Pipes and Spouts,F-ZONE 2
STTK,P,Storage Tank,F-ZONE 1
SUBL,L,Subdivision Line,F-ZONE 9
SUEL,L,DEP:TIITF:Safe Upland or Jurisdictional Lines,F-ZONE 9
SW,L,Switchgear & Appurtenances,F-ZONE 3
SWG,P,Railroad Signal with Gate,F-ZONE 1
SWK,L,Front of Sidewalk,F-ZONE 1
SWKB,L,Back of Sidewalk,F-ZONE 1
TAL,P,Turn Arrow Left,F-ZONE 1
TALR,P,Turn Arrow Left and Right Symbol,F-ZONE 1
TALRS,P,Turn Arrow Left Right and Straight Symbol,F-ZONE 1
TAR,P,Turn Arrow Right,F-ZONE 1
TB,P,Telephone Booth,F-ZONE 3
TEL,L,Telephone Line (Aerial),F-ZONE 3
TELP,P,Telephone Pole,F-ZONE 3
TELS,L,Telephone Service Box (Large),F-ZONE 3
TESMT,L,Easement Lines Temporary,F-ZONE 9
TESMTP,L,Easement Lines Temporary (Proposed),F-ZONE 9
TFD,L,Traffic Detector Loops,F-ZONE 1
TFSP,L,Traffic Separator,F-ZONE 1
TG,P,Stream or Tide Gauge,F-ZONE 1
THA,P,Subsurface Utility Test Hole (QLA Only),F-ZONE 3
TMPW,L,Barrier Wall Dividing Traffic,F-ZONE 1
TPD,P,Telephone Pedestal / Service,F-ZONE 3
TRANSA,L,Conductors (Primary Distribution) Quality Level A Locate (Buried),F-ZONE 3
TRANSB,L,Conductors (Primary Distribution) Quality Level B Designate (Buried),F-ZONE 3
TRANSC,L,Conductors (Primary Distribution) Quality Level C Visual Inspection (Buried),F-ZONE 3
TRANSD,L,Conductors (Primary Distribution) Quality Level D Existing Records (Buried),F-ZONE 3
TRD,L,Treadle Axle Sensor,F-ZONE 1
TREE,P,Trees (Unknown),F-ZONE 1
TREEC,P,Coniferous Tree,F-ZONE 1
TREECI,P,Citrus Tree,F-ZONE 1
TREECY,P,Cypress Tree,F-ZONE 1
TREED,P,Deciduous Tree,F-ZONE 1
TREEOA,P,Oak Tree,F-ZONE 1
TREEPA,P,Palm Tree,F-ZONE 1
TREEPC,P,Palm Tree Cluster,F-ZONE 1
TREEPI,P,Pine Tree,F-ZONE 1
TRNF,P,Transformer,F-ZONE 3
TURN,P,Turn Symbol,F-ZONE 1
TWP,L,Government: Township and Range Government Survey Line,F-ZONE 9
TX,L,Tractor Crossings,F-ZONE 1
UD,L,Underdrains and Cross Drains,F-ZONE 2
UDBX,P,Underdrain Box,F-ZONE 2
UEW,L,U-Type Endwall,F-ZONE 2
UMISC,L,Utility Items (Miscellaneous),F-ZONE 3
UMKR,P,Subsurface Utility Marker,F-ZONE 3
UNPS,L,Shoulders (Unpaved),F-ZONE 1
VB,P,Valve Box,F-ZONE 3
VBG,P,Valve Box (Gas),F-ZONE 3
VBNPW,P,Valve Box (Non-potable Water),F-ZONE 3
VBS,P,Valve Box (Sewer),F-ZONE 3
VBW,P,Valve Box (Water),F-ZONE 3
VC,P,Valve Cover (Unknown),F-ZONE 3
VCEF,P,Valve Cover (Effluent),F-ZONE 3
VCG,P,Valve Cover (Gas),F-ZONE 3
VCNPW,P,Valve Cover (Non-potable Water),F-ZONE 3
VCRW,P,Valve Cover (Raw Water),F-ZONE 3
VCS,P,Valve Cover (Sewer),F-ZONE 3
VCW,P,Valve Cover (Water),F-ZONE 3
VLV,P,Valve (Unknown),F-ZONE 3
VLVB,P,Valve (Back Flow Preventer) Valve Box,F-ZONE 3
VLVG,P,Valve Valve Box (Gas),F-ZONE 3
VLVNPW,P,Valve Valve Box (Water) (Non Potable),F-ZONE 3
VLVS,P,Valve Valve Box (Sewer),F-ZONE 3
VLVW,P,Valve Valve Box (Water),F-ZONE 3
VNT,P,Vent (Unknown),F-ZONE 3
VNTG,P,Vent (Gas),F-ZONE 3
VNTS,P,Vent (Sewer),F-ZONE 3
VOID,L,Void Area (Not Collected),F-ZONE 1
WALL,L,Walls,F-ZONE 1
WDL,L,Woods Line,F-ZONE 1
WEDG,L,Edge of Water,F-ZONE 1
WELL,P,Well (Any Size),F-ZONE 3
